Week,Affiliate,SOLD USD,SC NET,Bonuses,COMMISSION RATE,REFERRED PLAYERS,OWED FROM PREV WK ,PROCESSING FEES ,TOTAL FEES ,NET ,NET COMMISSION ,NEW OWED BALANCE
March 2–8 Week 1,PUPS77 (GILBERTO),"$15,010.00",-994.31,$0.00,40.00%,1,-2671.42,675.45,675.45,-1669.76,0,"-4,341.18"
MARCH 2-8TH WEEK 1 ,GLOBELINA ,"$8,630.00","$4,942.72",$20.00,40.00%,0,0,388.35,408.35,4534.37,1813.748,0.00
MARCH 2-8TH WEEK 1 ,PAU626,"$6,895.00","$5,127.41",$45.05,40.00%,1,0,310.275,355.325,4772.085,1908.834,0.00
MARCH 2-8TH WEEK 1 ,OPERATIONS888,"$8,790.00","$5,641.14",$60.06,40.00%,7,0,$395.55,$455.61,"$5,185.53","$2,074.21",0.00
MARCH 2-8TH WEEK 1 ,LOSHI,"$20,319.82","$12,206.02",$160.25,40.00%,9,-3661.21,914.3919,1074.6419,11131.3781,2988.06724,0.00
MARCH 2-8TH WEEK 1 ,MAMIWANDA,"$3,275.00","$2,805.79",$0.00,40.00%,0,-95.14,$147.38,$147.38,"$2,658.42","$1,025.31",0.00
MARCH 2-8TH WEEK 1 ,SHEBETS,"$4,425.00","$1,783.38",$0.00,40.00%,0,0,$199.13,$199.13,"$1,584.26",$633.70,0.00
MARCH 2-8TH WEEK 1 ,DUCKERS86,"$1,675.00",$651.62,$20.00,40.00%,1,0,$75.38,$95.38,$556.25,$222.50,0.00
MARCH 2-8TH WEEK 1 ,KRIV05,$305.00,$170.05,$0.00,40.00%,0,0,$13.73,$13.73,$156.33,$62.53,0.00
MARCH 2-8TH WEEK 1 ,FREDDY,$0.00,$0.00,$0.00,40.00%,0,0,$0.00,$0.00,$0.00,0,0.00
MARCH 2-8TH WEEK 1 ,KARI,$0.00,$0.00,$0.00,40.00%,0,0,$0.00,$0.00,$0.00,0,0.00
MARCH 2-8TH WEEK 1 ,BOLA333,"$2,725.00",$201.43,$15.00,40.00%,0,-2275.265,$122.63,$137.63,$63.81,0,"-2,211.46"
MARCH 2-8TH WEEK 1 ,Israellozano,"$6,705.00","$3,674.31",$10.01,25.00%,2,0,$301.73,$311.74,"$3,362.58",$840.64,0.00
MARCH 1-8TH WEEK 1 ,Yuli1234,"$23,290.00",8053.23,$205.31,40.00%,19,0,"$1,048.05","$1,253.36","$6,799.87","$2,719.95",0.00
MARCH 1-8TH WEEK 1 ,Arturocastro,"$7,470.00",1257.23,$20.05,40.00%,2,,$336.15,$356.20,$901.03,$360.41,0.00
MARCH 1-8TH WEEK 1 ,Salyn,"$15,885.00",787.63,$220.40,40.00%,20,0,$992.81,"$1,213.21",-$425.58,0,-425.58
